id,created_time,creator_id,modified_time,modifier_id,is_deleted,dict_type,dict_name,remark,status,order_num
1,2022-11-13 02:49:40,0,2022-11-13 02:49:40,0,0,permission_user_sex,用户性别,(0: 未知; 1: 男; 2: 女),0,1
2,2022-11-13 02:49:40,0,2022-11-13 02:49:40,0,0,com_default_status,通用状态字典,(0: 正常; 1: 停用),0,2
3,2022-11-13 02:49:40,0,2023-12-02 15:40:02,1,0,permission_user_status,用户状态,,0,1
4,2023-12-04 19:53:00,1,2023-12-04 19:57:21,1,0,hiker_rule_data_type,海阔视界规则数据类型,"[('home_rule_url', '首页云规则'), ('publish', '提交云仓库'), ('js_url', '网页插件'),('html','静态页面'),('config','主页配置')]",0,3
